GRT_LABELLED_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: harlequinPosRel
InfoText: 
NumDimensions: 45
TotalNumExamples: 520
NumberOfClasses: 68
ClassIDsAndCounters: 
1	3	NOT_SET
6	8	NOT_SET
9	14	NOT_SET
12	3	NOT_SET
20	7	NOT_SET
28	7	NOT_SET
31	6	NOT_SET
33	13	NOT_SET
37	5	NOT_SET
39	5	NOT_SET
51	5	NOT_SET
53	3	NOT_SET
56	5	NOT_SET
60	15	NOT_SET
64	5	NOT_SET
66	5	NOT_SET
67	12	NOT_SET
68	6	NOT_SET
70	6	NOT_SET
75	5	NOT_SET
77	18	NOT_SET
78	8	NOT_SET
80	6	NOT_SET
81	5	NOT_SET
83	7	NOT_SET
84	9	NOT_SET
85	5	NOT_SET
87	9	NOT_SET
88	9	NOT_SET
89	6	NOT_SET
91	25	NOT_SET
131	4	NOT_SET
144	5	NOT_SET
150	12	NOT_SET
154	4	NOT_SET
160	6	NOT_SET
163	8	NOT_SET
174	9	NOT_SET
179	10	NOT_SET
244	14	NOT_SET
254	6	NOT_SET
276	6	NOT_SET
286	1	NOT_SET
293	8	NOT_SET
312	16	NOT_SET
313	8	NOT_SET
316	14	NOT_SET
321	9	NOT_SET
322	6	NOT_SET
326	6	NOT_SET
340	7	NOT_SET
344	9	NOT_SET
355	3	NOT_SET
357	5	NOT_SET
404	4	NOT_SET
428	5	NOT_SET
436	8	NOT_SET
451	8	NOT_SET
460	4	NOT_SET
479	22	NOT_SET
535	8	NOT_SET
558	5	NOT_SET
582	5	NOT_SET
597	5	NOT_SET
605	13	NOT_SET
638	5	NOT_SET
657	1	NOT_SET
669	6	NOT_SET
UseExternalRanges: 0
Data:
39	-0.00148773	-0.000320435	-0.00866699	0.440939	114.032	84.0789	42.5512	356.657	142.815	-133.463	104.724	97.4056	-289.305	43.8	4.87842	-174.737	239.576	8.01697	134.345	123.339	70.7521	187.816	-47.3314	-2.17993	277.461	-272.398	-171.011	-86.1465	-119.989	-75.5667	102.762	-462.616	-188.199	-54.1205	-551.021	159.409	85.2587	-108.075	-92.6257	146.097	-273.478	-158.242	113.502	-222.275	-168.774
39	-0.00292206	-0.00209045	0.00646973	1.00896	116.769	84.0138	37.9665	353.492	145.396	-130.297	104.882	102.118	-287.121	17.1439	26.2854	-178.765	233.976	10.4922	132.315	128.656	65.9095	186.884	-45.8846	1.4657	275.394	-267.465	-160.688	-87.3052	-124.585	-72.1034	-10.6169	-514.357	-161.329	-26.0447	-601.412	220.04	85.2756	-108.961	-95.8986	148.33	-252.162	-169.6	-147.527	-323.314	-257.293
39	-0.00141716	0.00115967	-0.0020752	0.935005	112.791	84.0143	39.5914	347.753	145.797	-130.581	103.548	97.8887	-281.087	12.2483	15.1805	-176.44	231.313	13.9269	132.451	122.034	70.1399	190.559	-58.7507	3.39734	277.481	-279.677	-163.38	-86.6154	-118.81	-74.9799	-92.5189	-513.098	-176.309	222.451	-466.95	51.5581	84.7397	-106.767	-93.057	153.299	-258.053	-160.626	49.6302	-264.077	-122.883
39	-0.00690842	0.00782776	-0.0375977	1.57153	115.549	84.9536	35.245	358.261	124.534	-134.163	107.498	98.4197	-288.552	16.6608	0.0418701	-187.581	232.837	16.2344	137.306	123.6	71.4875	190.55	-46.4747	-13.0267	272.077	-253.169	-176.51	-87.7508	-120.644	-76.4803	-109.534	-506.163	52.6177	118.299	-334.191	-215.295	84.5801	-110.422	-93.5773	144.67	-246.545	-172.708	-119.433	-323.013	-250.776
39	0.00380325	0.00717163	-0.00500488	2.16274	116.021	76.5222	38.62	358.019	121.635	-131.359	106.168	95.2267	-292.198	19.8001	11.9585	-192.247	234.489	13.698	135.684	125.875	57.8177	192.388	-38.5742	-4.19788	271.714	-242.588	-171.719	-90.6615	-122.538	-64.1338	-108.573	-515.271	41.72	152.957	-418.874	-233.177	86.3512	-109.475	-88.9307	148.912	-234.959	-168.92	-112.009	-313.033	-249.04
51	-0.000190735	-0.00305176	-0.00317383	6.29391	115.868	81.0444	46.2099	345.061	78.6713	-126.007	112.745	95.7837	-296.612	10.8168	-20.5035	-201.748	232.988	-6.36926	138.594	118.991	66.3052	193.059	-59.0495	13.9528	233.753	-254.896	-227.902	-90.6719	-117.866	-71.6506	-61.05	-470.167	-273.57	-3.29095	-569.831	100.582	78.0833	-113.883	-90.4512	249.952	-222.717	-115.615	96.2345	-251.087	-215.314
51	-0.000377655	0.00141907	-0.00170898	5.63943	111.537	78.8666	47.5105	342.553	78.05	-127.397	107.765	93.7141	-294.822	7.71249	-21.1875	-184.562	232.831	-10.8	138.676	115.309	64.019	192.176	-59.4641	8.81311	258.477	-243.304	-158.604	-90.4453	-113.938	-69.4053	-87.6385	-519.188	-108.516	65.9046	-515.242	251.579	79.1649	-109.13	-88.3347	137.417	-237.133	-164.245	230.635	-294.826	-96.8899
51	0.000350952	-0.000640869	-0.00244141	5.58915	111.598	79.0062	49.1157	342.436	74.1079	-126.518	107.996	93.4381	-289.235	13.9576	-13.326	-196.996	225.687	-14.5823	137.696	115.199	64.5743	192.282	-56.5546	9.63245	261.761	-257.512	-153.052	-89.0954	-113.876	-69.8885	-110.497	-519.793	-93.0846	50.8568	-606.965	252.784	77.9185	-109.322	-88.1337	152.533	-239.738	-164.546	124.484	-263.922	31.868
51	0.000350952	-0.000640869	-0.00244141	5.58915	111.598	79.0062	49.1157	342.436	74.1079	-126.518	107.996	93.4381	-289.235	13.9576	-13.326	-196.996	225.687	-14.5823	137.696	115.199	64.5743	192.282	-56.5546	9.63245	261.761	-257.512	-153.052	-89.0954	-113.876	-69.8885	-110.497	-519.793	-93.0846	50.8568	-606.965	252.784	77.9185	-109.322	-88.1337	152.533	-239.738	-164.546	124.484	-263.922	31.868
51	0.000663757	0.00186157	-0.000244141	3.78143	112.759	76.1779	49.5001	342.189	73.2192	-127.821	106.825	91.4928	-290.129	10.5543	-3.10962	-200.478	221.699	-18.5156	135.384	118.693	60.8629	190.646	-54.1294	3.32556	223.803	-262.469	-249.082	-86.1944	-116.471	-66.5875	-153.139	-508.477	-153.851	42.9367	-607.839	170.095	78.6341	-109.039	-85.7692	87.3985	-502.005	-46.5828	102.521	-269.808	-115.904
